,0,1
0,2020-04-29 18:12:11+00:00,British Airways to drive job cuts with cabin crew overhaul - memo https://uk.reuters.com/article/uk-health-coronavirus-iag-cabincrew-idUKKBN22B1YX?taid=5ea9c37a06bb9b0001402cfb&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter
1,2020-04-29 17:10:07+00:00,"@patel4witham ok we hear you're going to cut down on illegal immigrants coming through the channel. We keep hearing about the action you're ""going to take"". But you never do. It's all lip service. STOP ILLEGALS ENTERING THE UK. THAT IS YOUR JOB!"
2,2020-04-29 16:26:08+00:00,"@sohoradio WOW @MamasGun_UK we’re absolutely amazing, and the fact that it was live cut to vinyl is just a whole other level of amazing, great job guys!!"
3,2020-04-29 14:21:23+00:00,"UK flag carrier British Airways announced Q1 losses of $US 580 million. Warns of the need to cut 12,000 jobs. BA believes it will take years for recovery. "
4,2020-04-29 14:08:05+00:00,"Homelessness has no place in the UK, and homelessness of working people even less so. Low paying, insecure jobs and unaffordable rents, along with cuts in housing benefit have left us with an unfolding disaster on our hands. We must act now! "
5,2020-04-29 12:47:18+00:00,British Airways job cuts: what will the redundancies mean for passengers? https://www.independent.co.uk/travel/news-and-advice/british-airways-job-cuts-losses-coronavirus-ba-flights-passengers-staff-a9490016.html
6,2020-04-29 12:39:33+00:00,British Airways job cuts: what will the redundancies mean for passengers? http://dlvr.it/RVgsw0
7,2020-04-29 12:09:02+00:00,EnQuest Expects to Cut 530 UK Jobs 
8,2020-04-29 11:33:13+00:00,"I mean, densely populated areas appear to be the worst hit, especially earlier on when people from the Midlands saw a sharp rise due to commuters going to and from London. Khan cut tube services meaning people had to crowd on the ones provided. TFL staff have no PPE. His job.. "
9,2020-04-29 10:35:20+00:00,"2 million muslim Bangladesh jobs 'at risk' as clothes orders dry up. Doubtless they will all be crying poverty soon! The UK needs to take back manufacturing its own goods, to keep the profits, and cut uemployment. #BritishMade @10DowningStreet @trussliz"
10,2020-04-29 10:29:10+00:00,EnQuest Expects to Cut 530 UK Jobs https://ift.tt/2YfKp5b
11,2020-04-29 10:12:08+00:00,EnQuest Expects to Cut 530 UK Jobs
12,2020-04-29 09:57:08+00:00,EnQuest Expects to Cut 530 UK Jobs https://crudeoilbrokers.blogspot.com/2020/04/enquest-expects-to-cut-530-uk-jobs.html
13,2020-04-29 09:56:34+00:00,EnQuest Expects to Cut 530 UK Jobs http://dlvr.it/RVgPHM
14,2020-04-29 09:37:08+00:00,EnQuest Expects to Cut 530 UK Jobs - Rigzone https://ift.tt/3f7vbp5
15,2020-04-29 09:32:27+00:00,"So much for foreigners pinching our jobs Only 112 of 50,000 UK applicants for fruit pickers take jobs amid farmers' fears over skills &amp; application Farmers face challenge to recruit skilled staff to pick fruit/veg as East Euro labour cut off by Covid19 "
16,2020-04-29 09:30:57+00:00,"I'm blending US/UK taxes/politics here, but the takeaway should be: cutting tax rates will not, with few exceptions, help. If you have lost your job, an income tax cut is meaningless. Having your water/heating/electricity/council tax paid for you *will*."
17,2020-04-29 09:25:23+00:00,"Bollocks - jobs for the boys again. He's out of date, out of touch, and out of time. Same old, same old just doesn't cut it anymore."
18,2020-04-29 09:15:44+00:00,Uber Chief Technology Officer stepping down after seven years as an executive at the company Reports are also circulating that Uber may be considering job cuts of up to 20% of employed staff 
19,2020-04-29 09:06:33+00:00,"UK small firms use furlough scheme to avoid permanent job cuts - BCC: Three of every four small British businesses have temporarily laid off staff using an emergency government scheme to pay their wages, minimising permanent job losses during the… https://bit.ly/2KIjQNZ"
20,2020-04-29 08:52:54+00:00,"Wednesday Papers: British Airways to cut 12,000 jobs and state support will offset just a quarter of UK economic hit. #BusinessNewsRoundup #Press"
21,2020-04-29 08:51:56+00:00,"She was pretty steadfast in refusing to answer the questions, and kept repeating the same old spin. Hardly surprising he cut her off. Do you think the government are doing a good job, do you think the government should be held accountable for their errors and poor judgement calls"
22,2020-04-29 08:36:57+00:00," BA is set to cut up to 12,000 jobs from its 42,000-strong workforce Why is British Airways not receiving help from the UK government pilots’ union Balpa is asking (BBC) 12 000 des 42 000 employés de British Airways menacés, les pilotes demandent une aide de l'Etat"
23,2020-04-29 08:29:15+00:00,If you study the timelines & facts closely there's no way that you can say that the UK government has done a competent job not least because their austerity cuts left us unprepared. Any positivity must be 3 reasons Die hard Boris/Tory BrexitCovid linkage. Fear-need to believe
24,2020-04-29 08:25:09+00:00,UK small firms use furlough scheme to avoid permanent job cuts: BCC 
25,2020-04-29 08:22:10+00:00,"""British Airways will cut up to 12,000 jobs as the airline’s owner warned the coronavirus recovery will take “several years.”"" "
26,2020-04-29 08:21:52+00:00,British...Airways...UK...Cut...Up...12...Job...Aviation...Demand...Plummet...plane...aircraft...fighter...jet...Belgium...Urge...Eat...Fries...Twice...Week...Lockdown...Cripples...Frozen...Potato...Industry...Chad...Syria...Australia...New Zealand...Dominican Republic...Romania..
27,2020-04-29 08:11:19+00:00,"On @SkyIanKingLive at 9.30am Hugely significant move by @British_Airways to cut 12,000 jobs How/when to lift the lockdown @Johndcaudwell Can cruise ship industry survive? Carnival UK Chair David Dingle Live @SkyNews w/@IanKingSky"
28,2020-04-29 08:10:33+00:00,"This is just a start! British Airways to cut up to 12,000 jobs in wake of record loss. No bailout is waiting and there is little point continuing to furlough staff with a full recovery years away #CoronaImpacts #UK #BritishAirways @BorisJohnson @PMOIndia"
29,2020-04-29 08:04:34+00:00,"British Airways will cut 12,000 jobs in the wake of the Coronavirus pandemic. The International Airlines Group (IAG), who owns British Airways stated that it needed to implement “a restructuring and redundancy program”. @British_Airways #BritishAirways #uk #aviation #cabincrew"
30,2020-04-29 08:04:12+00:00,"Like in most downturns, these big job cuts come at a time when people have fewer job opportunities to turn to. UK job vacancies are down 53% on last year's trend "
31,2020-04-29 07:29:02+00:00,UK small firms use furlough scheme to avoid permanent job cuts - BCC https://uk.reuters.com/article/uk-health-coronavirus-britain-loans/uk-small-firms-use-furlough-scheme-to-avoid-permanent-job-cuts-bcc-idUKKCN22A3HS?feedType=RSS&amp;feedName=personalFinanceNews
32,2020-04-29 07:14:11+00:00,"British Airways is set to cut up to 12,000 jobs after the coronavirus pandemic sparked a collapse in business. @NickFerrariLBC asks: Is this just the beginning for UK businesses? "
33,2020-04-29 06:49:00+00:00,"Wednesday briefing: Contain virus before reopening, says public Can dealers offer click-and-collect? Ford to restart factories BA plans 12,000 job cuts 1-in-7 take mortgage holiday Online sales rocket True UK death toll to be revealed And more: "
34,2020-04-29 06:33:41+00:00,"Should UK taxpayers bail out the UK airline industry? British Airways plans to cut up to 12,000 jobs, saying international travel won't get back to normal levels for several years. Should more be done to save firms like BA, or would you be happy to see us all flying less? "
35,2020-04-29 05:33:32+00:00,HSBC puts job cuts on hold https://www.finextra.com/newsarticle/35711/hsbc-puts-job-cuts-on-hold via @Finextra #fs
36,2020-04-29 05:00:17+00:00,"2020 #UK #Jobs statistics: 29-04-2020 collated by @michael75lewis: Jobs &amp; apprenticeships cut / at risk 9,745,460 Temporary / permanent jobs planned or created 297,880 Jobs to be furloughed / saved / with reduced hours 7,004,750 Working from home due to #Covid19 15,876,000"
