,0,1
0,2020-04-28 22:45:21+00:00,"Martin, I've HUGE respect for you but please don't describe BA as 'our flag carrying airline'. It's true it carries an image of our flag on its aircraft but, as you know, it's privately owned by IAG and demeans the UK with its awful service. The loss of BA jobs is regrettable."
1,2020-04-28 22:32:02+00:00,"Right, that makes sense. god loves her and hates almost everyone else because of the job loss, the COVID virus, and not to mention the death. It’s luck. Simple luck."
2,2020-04-28 18:55:44+00:00,"BA owner swings to first-quarter loss, warns of major job cuts as virus punishes https://uk.reuters.com/article/uk-health-coronavirus-britishairways-idUKKCN22A2RJ?taid=5ea87c2ed9c55b0001181438&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter"
3,2020-04-28 17:44:47+00:00,"I would like every individual in the UK to sue them for Loss of loved ones. Loss of job! Loss of wages! Loss of life itself being locked down. Mental health and stress claims. Continued threat of it rearing it's ugly head again, Mostly putting up with the wife at home!"
4,2020-04-28 17:20:17+00:00,did @BBCNews just admit that the UK is on track to have the worst loss of life to Covid19 in Europe? So my question is will the #BBCbias stop and will they do their job now and hold the government to account #HoldThemToAccount.
5,2020-04-28 17:05:01+00:00,"Yes, let’s celebrate potentially 8000 could lose their jobs, the companies who will be affected by them going under to and the the loss of 1 billion they put in to the UK economy, let’s celebrate "
6,2020-04-28 16:55:06+00:00,Then how come every other country (bar US) has done far better at managing this pandemic than the clowns in #No10 ? Right now UK has worst death rate in Europe &amp; within a few weeks will be 2nd in the world for loss of life because Johnson couldn't get off his arse &amp; do his job
7,2020-04-28 13:05:24+00:00,"Oil groups fear loss of 30,000 jobs at UK North Sea fields | Financial Times "
8,2020-04-28 11:52:24+00:00,"Oil groups fear loss of 30,000 jobs at UK North Sea fields https://www.ft.com/content/d9ae865b-fe55-4727-a935-589c0fe27976 via @financialtimes"
9,2020-04-28 11:48:38+00:00,"Just an FYI we have remberence Sunday each year to remember all armed forces who have died in all wars & nhs/care home works and everyone whose died in the uk so far of coronavirus have not willing joined a job that may involved a possible loss of their own life, have a great day"
10,2020-04-28 11:44:15+00:00,Coronavirus: BP slumps to loss as industry body warns on UK oil and gas jobs - Sky News 
11,2020-04-28 10:56:33+00:00,"Thanks, great job to you &amp; @TaxJusticeNet! Just to clarify: Is the EU loss of $27 bn. from *all* MNCs profit shifting to the UK, LU, NL, CH or is it only from *US* MNCs? The report seems to hint at the latter, but some communication (incl. your tweet) seems to hint at the former."
12,2020-04-28 10:43:42+00:00,Coronavirus: BP slumps to loss as industry body warns on UK oil and gas jobs https://news.sky.com/story/coronavirus-up-to-30-000-uk-jobs-may-go-in-crisis-for-oil-industry-11979658
13,2020-04-28 09:39:45+00:00,Coronavirus: BP slumps to loss as industry body warns on UK oil and gas jobs https://news.sky.com/story/coronavirus-up-to-30-000-uk-jobs-may-go-in-crisis-for-oil-industry-11979658
14,2020-04-28 09:02:27+00:00,"UK North Sea fields fear loss of 30,000 jobs https://www.ft.com/content/d9ae865b-fe55-4727-a935-589c0fe27976"
15,2020-04-28 09:01:03+00:00,"As people lose their jobs, face hunger, face death, face loss, we must as a humanity embrace what arises with compassion, but we also need to find a way, over time, to accept the unfolding taking place. https://kellymartinspeaks.co.uk/2020/04/when-things-are-shaky-roll-with-it #COVID19 #mindfulness"
16,2020-04-28 08:05:37+00:00,Kim...Extravagant...Theory...Regard...North...Korea...South...Leader...Fate...Mull...Media...Journalist...John Rees...Describe...Farcical...Experience...Listen...Assange...Hearing...Audio...Link...UK...Tourism...Hotspot...Hit...Devastating...Job...Loss...Lockdown...End...US...UN
17,2020-04-28 08:04:39+00:00,Coronavirus: BP slumps to loss as industry body warns on UK oil and gas jobs http://news.sky.com/story/coronavirus-up-to-30000-uk-jobs-may-go-in-crisis-for-oil-industry-11979658
18,2020-04-28 07:53:03+00:00,"@DavidGHFrost @michaelgove @BorisJohnson wouldn't want to piss off loaned 80 seat majority voters considering global crisis we're in resulting in 21K &amp; counting deaths - #RIP - great economic risk/collapse, job losses, lockdown, loss of liberty - they WILL put #UK first I'm sure"
19,2020-04-28 07:23:16+00:00,#ECON2 #ECON3 Coronavirus: BP slumps to loss as industry body warns on UK oil and gas jobs https://news.sky.com/story/coronavirus-up-to-30-000-uk-jobs-may-go-in-crisis-for-oil-industry-11979658
20,2020-04-28 07:18:05+00:00,Coronavirus: BP slumps to loss as industry body warns on UK oil and gas jobs 
