,0,1
0,2020-04-28 21:19:09+00:00,"I wonder how many excess deaths can be attributed to mass #HouseArrest? Mass layoffs, loneliness, impact on mental health and increase in stress. Or UK hospitals cancelling operations and treatment other than for #COVID19?"
1,2020-04-28 21:00:14+00:00,"Out of those, how many are actually going to complete with the anticipated layoffs in UK &amp; consumer sentiment etc.. similar prelim observations in US home sales nos.. And then there is Brexit which will probably add a further redundancies (if that is possible) after. Headwinds .. "
2,2020-04-28 19:06:05+00:00,"J-Source: Memo: Postmedia closing 15 community newspapers, announces permanent and temporary layoffs http://dlvr.it/RVdWLY"
3,2020-04-28 18:57:54+00:00,I'm not disputing the bigger picture (not even sure it's a bad thing) but this 12k layoffs announcement is clearly intended to put pressure on the Government to give them cash Maybe they should show a bit of willing first by reducing executive wages/bonuses and freeze dividends?
4,2020-04-28 17:46:08+00:00,Airbus in Mobile has said that for now it will not furlough or layoff any of its staff amid reports Monday that the international plane maker has sidelined thousands of employees in the UK because of the economic downturn brought on by COVID-19. 
5,2020-04-28 14:48:04+00:00,"Mobile’s Airbus said it will for not furlough/layoff any staff amid reports that the plane maker has sidelined thousands of employees in the UK. The move comes after CEO Guillaume Faury warned the company was ""bleeding cash at an unprecedented speed.” https://trib.al/WKZXvtU"
6,2020-04-28 14:36:58+00:00,Jim. You ask CEO after CEO to promise no layoffs. It’s a sacrifice for their company. They are eating that. So yes you should do your part for your employees because you are wealthy.
7,2020-04-28 13:34:09+00:00,Irish state pensions higher. Covid layoffs getting 300 plus euros a week. UK living wage not in law. Working time directive - mucho complaining from UK. Zero hours contracts banned (in law) in Ireland. Hmmm.
8,2020-04-28 11:52:49+00:00,"I'm a Brit in Portugal, Gary, but similar support is available here for temporary layoffs (furloughing). Small businesses are the lifeblood of both economies, but I'm just flabbergasted at the money-grabbing going on everywhere by large corporations (not just the UK)."
9,2020-04-28 10:05:40+00:00,"There will be many more layoffs wen furloughing ends and many self-employed will never recover, especially those limited companies &amp; new start-ups ineligible for any support + pubs &amp; restaurants. Just unveil a #UBI for July already to avoid a huge economic shock. @basicincome_uk"
