,0,1
0,2020-04-28 23:44:19+00:00,"Austerity happened because Labour/Brown failed to ensure there was an adequate safety net, they arrogantly stated there would be no more boom/bust in the UK economy and look how well that comment aged... They didn't cause recession, they just failed to prepare for one."
1,2020-04-28 22:07:00+00:00,I’m going to add the sun to my list for you to stop taking your facts from as well! You There was a global recession in the early 2000’s but UK managed to avoid it. Who was running the economy then?? You’re so blinkered you fool
2,2020-04-28 21:30:37+00:00,"Thank you for such insights! I lived in the UK for 2 years during the recession and ate at GBK several times (Groupon deals, lol remember Groupon?) they burnt my burger every single time. Terrible restaurant."
3,2020-04-28 20:42:31+00:00,I suspect if it was not for Carney the UK economy would be in recession many months ago.
4,2020-04-28 20:23:44+00:00,"The #uk has highest #COVID19, death rate in the world,and it's citizens sleep walk into a recession and #Brexit, and nobody asks WHY,?"
5,2020-04-28 19:45:48+00:00,"Our country is doing this, to a large extent, to it's own detriment. This creates a bubble. You, in the UK have lived in perpetual recession because of policies like this."
6,2020-04-28 19:40:40+00:00,"Controversial Opinion: 9/11 was a tragedy but I’d never class it as “a big event in my life”... Coronavirus, the 2008 recession and maybe the death of Princess Diana at a push but I honestly don’t think there’s been anything as big as the first two, at least not in the UK "
7,2020-04-28 19:02:10+00:00,Carrying on with more cuts will only create a continuous recession. The UK has had very low growth anyway in the past 10 years.
8,2020-04-28 18:50:10+00:00,Except that' just not true. The UK if it goes for its 31/12 Brexit is really in even more trouble though. We were in recession before the virus struck and will be billy no mates. Anyone dreaming of great deals is delusional. 
9,2020-04-28 18:44:56+00:00,Italy Germany France all either in recession or on the brink of it. We are the fastest growing of any of the EU countries you fool. The UK exit is leaving a massive hole in their finances. And they’re scared we’re going to prosper. And we are.
10,2020-04-28 17:42:09+00:00,"Obama election, Lehman brothers triggering recession, the Arab spring, brexit, the good Friday agreement, Uk Supreme Court decisions in Miller I and II and Jackson (I’m from the uk) Bataclan hostage crisis (lived in France), tony Blair being elected. Gulf war II. Creation of euro"
11,2020-04-28 17:32:04+00:00,"Us in the UK couldn't do 700 thousand , tests , we've got a Recession coming &amp; a worthless train (HS2) TO SORT OUT.. AM I WRONG, REPLY ( SIR CONMAN AVAILABLE ONLINE NOW .) GOOD LUCK !!!! #Coronavirus"
12,2020-04-28 17:08:37+00:00,"When did the Tories ever run a surplus, ever? The UK was first out of recession in 2009/10 Q4 of the G7 countries. It fell back into recession as the Tories took us into austerity."
13,2020-04-28 16:47:54+00:00,"That’s absolute nonsense, all small countries in Europe have had bailouts. Only difference is most are not going back to work whilst our economy is being destroyed , already in recession before the virus care of Brexit."
14,2020-04-28 16:31:51+00:00,"In the UK, the Manchester Bombings, 7/7, Lee Rigby, Princes Diana dying, Iraq War, 2008 recession hitting...too many to comprehend to be honest "
15,2020-04-28 16:26:24+00:00,"In the UK, 7/7 is probably the third that springs to mind. The eternal stupidity of Brexit comes in at 4..mainpy because I'm partly in denial. But exiting with no deal in place, following Covid induced recession will be erm...interesting."
16,2020-04-28 16:17:04+00:00,We're not in a recession though. Many people will still have the money to continue where they left off when the virus eventually clears. Or is he referring to something else?
17,2020-04-28 16:07:57+00:00,"Excellent piece. Thank you. Have you done any analysis on those businesses who had committed to staying in the UK after Brexit? Will the coronavirus recession change their minds, I wonder?"
18,2020-04-28 15:40:06+00:00,Why I'd buy these 3 insolvency firms in May with UK recession coming http://dlvr.it/RVcp8N
19,2020-04-28 15:39:01+00:00,Why I’d buy these 3 insolvency firms in May with UK recession coming 
20,2020-04-28 15:28:03+00:00,"So, to be clear, as millions are made redundant and the UK plunges the deepest recession in centuries, tens of thousands die of coronavirus, banks are extorting money from corporate clients who depend on their credit lines. The regulator's response is not even a slap on the wrist"
21,2020-04-28 15:14:34+00:00,"Have never heard of Keynes's view of 1920-1921 recession in the USA, he's more concerned with the UK preparing to return to the gold standard in the early 1920s I think and he writes a lot more about that."
